user_id,region,marriage_counts,adults_numbers_family,expect_income,has_creditcard,totalemployed_months,activeusers_family,credit_rating
126,4,3,3,1,1,25,1,3
127,12,2,1,0,0,20,1,9
128,8,0,1,1,0,22,3,4
129,2,3,3,6,0,14,1,2
130,12,0,4,3,0,27,1,4
131,9,1,4,6,0,12,1,4
132,14,4,1,2,0,34,2,0
133,4,0,4,4,0,13,1,0
134,3,1,2,1,0,15,1,5
135,5,0,5,1,0,17,1,9
136,3,3,2,5,1,8,2,9
137,6,3,3,7,0,9,2,9
138,0,3,2,5,0,36,1,34
139,5,1,2,7,0,19,1,4
140,12,3,1,5,1,20,1,4
141,7,3,1,5,1,35,1,3
142,3,1,3,4,0,19,1,1
143,16,0,4,3,0,12,1,9
144,12,1,5,9,0,12,1,9
145,3,0,1,6,0,7,1,9
146,10,0,4,4,0,12,1,8
147,3,3,2,6,0,25,3,9
148,2,3,1,5,1,13,1,9
149,12,0,1,6,0,24,2,2
150,1,0,1,8,0,13,1,7
151,4,0,6,7,0,13,1,0
152,12,3,1,3,0,11,1,8
153,4,0,1,7,0,16,1,2
154,1,3,1,5,1,23,1,7
155,13,1,2,5,0,6,1,1
156,1,2,1,5,0,11,1,4
157,5,2,1,4,0,15,1,6
158,5,1,2,7,0,28,1,0
159,6,3,1,5,1,10,1,1
160,9,1,1,5,0,28,1,0
161,14,2,1,2,0,24,1,6
162,10,1,3,2,0,10,1,9
163,4,1,5,6,0,11,1,0
164,1,0,2,5,0,8,1,9
165,0,3,1,5,1,9,1,9
166,12,0,1,3,0,9,1,4
167,5,2,1,0,0,12,1,4
168,8,1,1,5,0,6,1,1
169,13,0,4,9,0,14,2,9
170,9,4,1,3,0,16,1,4
171,0,3,1,0,1,14,1,8
172,4,1,4,9,0,25,2,13
173,8,2,1,0,0,13,1,2
174,12,0,1,7,0,10,1,1
175,6,3,1,5,1,19,1,9
176,6,1,3,9,0,16,1,9
177,2,2,3,6,0,25,1,32
178,4,0,1,5,0,11,1,9
179,12,4,1,6,0,16,1,7
180,1,1,6,4,0,11,1,7
181,6,3,1,5,1,11,1,7
182,9,1,3,5,0,12,4,9
183,12,3,1,7,0,18,1,7
184,5,3,1,5,1,15,1,13
185,3,1,2,7,0,17,1,29
186,9,2,1,7,0,17,1,7
187,18,3,2,1,0,26,2,1
188,9,2,2,1,0,11,2,14
189,12,0,4,7,0,10,1,11
190,5,3,2,6,0,23,1,24
191,5,3,1,5,1,12,1,4
192,14,2,1,1,0,19,1,14
193,18,1,2,5,0,31,1,1
194,8,0,1,6,1,12,1,9
195,13,1,1,5,0,14,2,4
196,12,0,5,3,0,36,1,3
197,13,3,1,5,1,15,1,1
198,16,4,1,4,0,13,1,1
199,12,0,1,3,0,7,1,3
200,3,1,2,6,0,10,1,9
201,3,2,1,0,0,10,1,7
202,13,2,3,6,0,6,1,9
203,16,1,5,7,0,13,1,9
204,15,2,1,0,1,16,1,4
205,12,1,3,6,0,13,2,0
206,3,0,1,1,0,30,1,11
207,8,3,1,7,0,10,2,9
208,14,1,3,6,0,16,6,9
209,1,4,1,8,0,19,1,9
210,16,1,3,5,0,8,1,9
211,17,3,3,6,0,29,1,0
212,16,3,1,5,1,26,1,7
213,6,3,1,0,1,15,1,8
214,13,0,1,5,0,10,1,8
215,18,0,1,3,0,23,2,9
216,15,4,1,5,0,14,1,7
217,15,1,3,6,0,21,1,25
218,18,1,2,7,1,9,2,9
219,2,0,1,1,0,12,1,6
220,9,2,1,0,0,13,1,1
221,3,3,1,5,1,34,1,0
222,15,1,1,7,0,47,1,0
223,1,0,3,6,0,12,1,6
224,3,2,2,4,0,31,1,1
225,2,1,3,5,0,25,1,7
226,4,1,3,5,0,13,1,11
227,7,3,1,0,0,11,1,9
228,15,3,3,4,0,7,2,9
229,1,1,1,3,1,7,1,6
230,14,3,3,7,0,22,2,9
231,13,1,2,2,0,8,1,6
232,3,0,1,2,0,30,1,4
233,8,1,2,6,0,19,1,9
234,7,0,1,7,0,24,1,9
235,8,0,2,5,0,13,1,8
236,12,3,1,5,1,10,1,24
237,7,3,1,0,0,6,1,9
238,0,0,1,0,0,19,1,26
239,4,1,1,3,0,16,1,6
240,16,3,2,8,0,26,1,2
241,13,3,1,5,1,24,1,11
242,0,0,1,6,0,12,1,5
243,1,1,2,9,0,30,2,0
244,14,2,1,0,0,13,1,9
245,11,3,1,5,1,10,1,7
246,12,0,1,5,0,32,2,4
247,9,1,2,5,0,34,1,0
248,12,3,2,5,1,31,2,0
249,11,0,3,8,0,32,1,0
250,10,1,3,9,0,30,1,0
251,6,3,1,5,1,11,1,4
252,2,1,1,3,0,6,1,7
253,6,3,2,5,1,15,2,9
254,2,2,2,9,0,17,1,29
255,9,1,1,5,0,16,1,9
256,12,0,2,4,0,35,1,0
257,8,1,3,8,0,38,1,14
258,18,3,2,5,1,18,2,9
259,13,1,2,7,0,32,2,2
260,16,3,1,5,1,9,1,3
261,5,0,1,8,0,26,1,2
262,12,4,1,3,0,11,1,0
263,13,3,2,5,1,11,2,9
264,9,2,1,0,0,13,1,9
265,7,3,1,5,1,27,1,3
266,4,2,1,5,0,16,1,6
267,6,3,1,2,0,16,1,9
268,12,2,1,3,0,18,1,5
269,18,0,1,5,0,9,1,17
270,12,3,1,5,0,8,1,1
271,3,2,1,1,0,22,1,5
272,7,1,2,4,0,20,1,11
273,12,1,4,5,0,23,1,7
274,4,1,5,7,0,27,2,4
275,12,0,3,7,0,27,1,6
276,13,1,2,9,0,29,1,0
277,12,3,3,6,0,13,1,9
278,12,4,1,7,0,32,1,0
279,13,0,5,4,0,19,1,7
280,8,2,3,6,0,17,1,4
281,8,1,2,8,0,39,1,0
282,2,1,3,3,0,15,1,6
283,4,4,1,1,1,8,1,1
284,12,0,6,4,0,40,2,4
285,15,3,2,8,0,10,1,4
286,12,3,3,7,0,16,1,17
287,0,1,4,6,0,9,1,9
288,7,1,1,3,0,14,1,7
289,5,0,4,1,0,17,2,0
290,13,0,3,9,0,31,1,1
291,12,0,1,0,0,30,1,3
292,1,1,4,6,0,20,1,7
293,13,1,2,6,0,23,3,9
294,4,1,4,4,0,12,1,8
295,9,1,4,7,0,11,1,2
296,15,0,1,0,0,26,1,9
297,16,3,2,5,0,36,1,0
298,18,1,2,5,0,25,1,1
299,7,1,2,6,0,33,1,1
300,12,1,4,9,0,11,2,9
301,9,1,2,7,0,36,1,14
302,14,1,3,5,0,12,1,1
303,15,3,1,2,0,11,1,7
304,2,1,2,8,0,26,1,9
305,13,2,3,6,0,26,2,4
306,0,2,2,7,0,13,1,4
307,10,2,1,0,0,20,1,24
308,5,0,5,5,0,12,1,7
309,3,0,1,3,1,28,1,0
310,4,3,4,5,1,13,4,0
311,15,1,2,9,0,16,1,9
312,4,1,2,8,0,29,1,0
313,11,3,1,5,1,17,1,1
314,17,3,1,5,1,13,1,4
315,2,3,3,1,0,7,1,15
316,0,3,1,6,0,20,1,7
317,11,3,1,5,1,12,1,9
318,8,2,1,2,0,21,1,9
319,2,1,2,7,0,37,1,1
320,6,2,1,1,0,12,1,7
321,3,1,3,6,0,7,1,8
322,12,0,3,3,0,39,1,0
323,10,0,2,5,0,40,2,3
324,2,1,3,6,0,30,1,0
325,2,3,1,5,1,23,1,9
326,11,3,1,5,1,12,1,5
327,2,3,1,5,1,10,1,9
328,6,1,4,6,0,19,1,9
329,13,3,2,5,1,8,2,4
330,15,3,1,2,1,7,1,2
331,13,3,1,5,1,11,1,9
332,1,3,1,5,1,15,1,9
333,12,3,3,7,0,19,2,9
334,16,3,2,6,0,13,2,9
335,6,2,1,6,0,15,1,10
336,4,1,4,7,0,7,1,15
337,0,1,2,8,0,32,1,1
338,16,1,4,6,0,26,1,0
339,3,3,1,5,1,8,2,9
340,12,1,1,4,0,19,1,4
341,9,3,1,2,0,15,1,8
342,11,0,1,5,0,34,1,2
343,16,3,1,5,1,14,1,9
344,1,1,1,7,0,15,2,9
345,5,1,2,6,0,13,1,5
346,6,0,1,5,0,6,1,12
347,10,3,1,5,1,24,1,5
348,17,4,1,4,0,10,1,9
349,15,3,2,9,0,31,1,0
350,3,1,1,5,0,21,1,7
351,6,0,3,4,0,32,1,3
352,5,3,1,5,1,13,1,5
353,9,3,1,5,1,17,1,4
354,16,4,1,5,0,17,1,8
355,13,3,1,5,0,14,1,4
356,3,1,2,9,0,35,1,0
357,6,1,1,4,0,10,1,4
358,17,1,2,6,0,11,1,9
359,12,1,3,6,0,23,2,7
360,15,2,1,0,1,22,1,9
361,1,1,3,6,0,26,1,9
362,13,0,1,7,0,44,1,9
363,0,0,2,3,0,8,1,4
364,10,0,2,5,0,11,2,6
365,15,3,1,5,1,22,1,1
366,15,2,2,8,0,14,1,4
367,0,3,2,4,0,11,2,9
368,3,0,2,8,0,21,1,8
369,12,1,2,7,0,22,1,34
370,10,0,4,6,0,8,1,8
371,1,4,1,5,0,22,1,9
372,16,2,2,5,0,17,2,4
373,14,2,1,0,0,11,1,8
374,5,3,2,2,0,36,1,8
375,18,2,4,5,0,13,1,9
376,15,0,1,3,0,9,1,8
377,5,1,5,6,0,11,2,9
378,13,1,3,9,0,13,2,9
379,13,2,2,4,0,25,1,4
380,9,0,4,6,0,13,1,9
381,13,3,1,5,1,24,1,7
382,4,3,1,1,0,7,2,9
383,13,3,2,5,1,15,2,9
384,18,1,2,6,0,14,2,9
385,12,1,3,9,0,19,1,9
386,11,1,2,2,0,29,2,0
387,0,1,3,6,0,13,1,9
388,7,1,4,4,0,17,1,3
389,5,3,1,5,1,9,1,9
390,0,3,1,3,0,18,1,9
391,2,4,1,3,0,27,1,2
392,0,1,2,6,0,20,1,9
393,14,1,2,6,0,8,1,15
394,15,3,5,8,0,14,2,1
395,3,1,3,7,0,26,2,9
396,7,3,1,4,0,23,1,9
397,12,0,1,6,1,46,1,0
398,4,1,2,8,0,12,1,11
399,7,3,2,3,0,12,1,8
400,14,3,1,4,0,39,2,0
401,13,0,4,6,0,11,1,4
402,7,3,1,5,1,10,1,8
403,14,3,1,4,0,24,1,7
404,18,0,1,5,0,27,1,40
405,4,1,2,6,0,28,1,0
406,13,4,1,6,1,20,1,4
407,4,2,1,0,0,16,2,9
408,18,4,1,8,0,9,2,4
409,9,0,1,2,0,8,1,7
410,0,1,4,9,0,9,3,0
411,14,3,2,6,1,31,2,0
412,9,3,1,5,1,18,1,2
413,5,0,2,6,0,24,2,4
414,7,4,1,2,0,8,1,9
415,1,1,3,9,0,14,1,4
416,6,2,1,1,0,21,1,4
417,10,0,3,5,0,7,2,4
418,9,3,1,2,0,13,1,19
419,9,3,1,5,1,7,1,24
420,3,1,2,3,0,10,2,0
421,2,3,1,5,1,16,0,9
422,12,3,1,8,0,23,1,9
423,0,3,1,5,1,16,1,3
424,15,0,1,2,0,23,1,2
425,0,1,2,6,0,13,1,4
426,7,3,2,5,1,50,2,0
427,10,2,1,0,0,11,1,1
428,11,1,6,4,0,7,2,9
429,7,0,2,5,0,17,1,1
430,1,3,1,5,1,6,1,9
431,3,1,2,2,0,13,1,21
432,6,2,2,6,0,12,1,9
433,14,3,1,5,1,51,1,14
434,8,1,2,5,0,10,1,9
435,13,3,2,7,0,17,1,9
436,13,2,2,5,0,10,1,1
437,3,1,4,7,0,11,1,9
438,18,0,1,6,0,33,1,45
439,16,1,6,9,0,8,2,9
440,10,1,2,6,0,14,2,9
441,8,1,4,8,0,33,1,0
442,11,3,1,7,0,22,1,4
443,13,1,1,7,0,28,1,0
444,7,3,1,1,0,21,1,1
445,14,1,6,1,1,20,1,9
446,3,0,1,2,0,22,1,7
447,2,0,2,5,0,13,1,9
448,18,3,1,5,1,11,1,9
449,15,0,1,8,0,30,1,6
450,4,3,3,5,1,15,3,4
451,7,1,3,6,0,12,2,4
452,12,3,1,5,1,25,1,3
453,10,3,1,5,1,10,1,2
454,10,1,2,5,0,37,1,1
455,9,1,3,6,0,16,1,1
456,0,1,2,7,0,13,1,24
457,4,2,2,4,0,22,1,16
458,0,3,1,5,0,22,2,0
459,0,1,6,6,0,12,1,9
460,10,1,1,1,0,8,1,4
461,6,3,1,0,1,31,1,24
462,12,1,2,5,0,7,1,5
463,1,4,1,6,0,13,1,7
464,2,3,1,5,1,14,1,9
465,12,1,3,6,0,12,2,4
466,2,3,1,4,0,14,1,14
467,14,0,1,4,0,21,1,0
468,18,4,1,5,1,29,1,0
469,4,2,2,8,0,15,1,7
470,5,3,2,1,0,13,2,1
471,1,1,4,6,0,11,2,7
472,0,3,1,5,1,52,1,0
473,13,0,1,1,0,27,1,3
474,1,0,3,3,0,20,2,4
475,18,4,1,8,0,37,2,0
476,10,1,2,5,0,12,1,8
477,11,1,6,9,0,25,1,4
478,12,3,2,5,0,39,1,2
479,16,0,3,9,0,12,3,3
480,6,0,2,4,0,20,2,9
481,7,2,1,2,0,8,1,13
482,0,3,2,4,0,17,1,7
483,3,4,1,8,0,22,2,9
484,0,2,1,8,0,17,1,9
485,11,3,2,5,1,9,2,9
486,3,3,1,0,0,12,1,9
487,12,3,1,0,0,25,1,1
488,4,3,1,5,1,7,1,1
489,6,3,1,5,1,35,1,12
490,1,1,2,8,0,25,1,0
491,8,0,2,4,0,11,2,6
492,13,0,3,5,0,19,1,3
493,16,3,3,4,0,21,1,4
494,12,2,2,7,0,14,1,9
495,5,2,6,1,0,11,2,9
496,1,0,1,1,0,32,1,7
497,10,2,1,1,0,20,1,6
498,4,0,1,1,1,14,1,1
499,1,1,3,7,0,25,1,34
500,11,3,1,4,0,33,1,0
501,16,2,1,6,0,11,2,9
502,3,3,1,5,1,6,1,17
503,11,1,1,5,0,17,1,10
504,8,3,1,3,0,24,1,8
505,4,3,2,0,0,21,2,8
506,7,3,1,6,0,14,1,9
507,8,2,1,0,1,11,1,9
508,14,3,1,5,1,9,1,7
509,7,1,2,4,0,15,2,9
510,12,0,1,4,0,20,2,3
511,15,3,1,5,1,13,1,1
512,15,0,2,2,0,27,1,0
513,9,3,1,1,1,12,1,5
514,8,2,1,1,0,10,1,8
515,7,3,1,5,1,8,1,1
516,2,2,6,9,0,15,1,9
517,0,0,1,3,1,12,1,17
518,11,0,1,3,0,24,1,9
519,2,1,1,3,0,8,1,9
520,0,0,5,9,0,17,2,9
521,10,1,2,1,0,17,1,9
522,17,3,1,5,1,7,1,9
523,9,2,3,7,0,19,1,9
524,12,3,3,6,0,22,1,1
525,12,1,1,2,0,7,1,7
526,15,3,2,5,1,29,2,3
527,12,1,4,9,0,12,2,3
528,14,3,1,7,0,22,1,8
529,7,1,2,8,0,42,1,0
530,0,0,3,5,0,15,1,7
531,7,3,1,5,1,22,1,9
532,18,3,2,7,0,7,1,21
533,15,0,1,7,0,20,1,1
534,3,3,1,5,1,32,1,0
535,4,3,1,5,1,12,1,7
536,10,0,2,6,0,11,1,5
537,18,0,1,5,0,39,1,4
538,10,3,2,3,0,24,1,1
539,3,3,2,5,1,15,2,9
540,13,2,1,0,0,23,1,7
541,4,1,2,6,0,23,1,6
542,0,3,1,5,1,8,1,4
543,4,2,1,1,0,35,1,0
544,16,3,2,5,1,7,2,7
545,11,3,2,5,1,13,2,9
546,12,3,1,0,0,7,1,13
547,15,3,1,5,1,19,1,4
548,15,0,2,3,0,26,1,4
549,12,1,2,7,0,14,1,9
550,3,1,3,6,0,36,1,0
551,12,3,1,6,0,22,1,1
552,2,3,1,5,1,25,1,7
553,0,1,4,5,0,22,1,4
554,13,0,1,3,0,14,2,3
555,15,2,2,4,0,13,1,2
556,15,3,2,5,1,33,2,9
557,14,1,1,2,1,7,1,12
558,8,3,2,5,1,14,2,15
559,16,1,2,9,0,9,1,9
560,7,0,1,4,0,8,1,10
561,8,2,1,0,0,18,1,4
562,10,1,1,4,0,14,1,7
563,14,2,2,5,0,32,1,0
564,9,3,2,6,0,21,1,9
565,2,3,1,0,1,7,1,3
566,11,4,1,3,0,14,2,9
567,0,1,3,8,0,8,1,7
568,14,1,3,7,0,21,1,6
569,6,1,4,6,0,24,1,9
570,17,1,2,5,0,11,1,9
571,14,3,2,9,0,11,1,9
572,9,3,2,7,0,15,1,0
573,12,1,4,6,0,21,2,9
574,15,3,3,4,0,18,2,4
575,12,0,2,8,0,30,1,6
576,5,1,3,7,0,12,1,10
577,2,1,2,5,0,14,1,5
578,2,1,2,8,0,23,2,9
579,5,1,3,6,0,13,2,4
580,14,3,1,7,0,34,1,0
581,13,0,3,8,0,21,1,8
582,0,0,2,5,0,11,1,9
583,15,3,3,5,0,14,1,9
584,14,3,1,4,0,24,1,3
585,12,2,1,0,0,26,1,3
586,14,3,2,0,0,17,2,9
587,13,4,1,6,0,10,1,9
588,1,1,3,6,0,19,3,3
589,18,0,2,5,0,14,2,17
590,15,3,2,5,1,25,1,11
591,8,3,1,5,1,9,1,9
592,9,3,1,5,1,13,1,1
593,12,3,1,5,1,20,1,9
594,16,1,2,7,0,25,1,48
595,8,1,3,6,0,10,1,6
596,5,2,3,2,0,27,1,2
597,18,0,1,7,0,39,1,17
598,16,1,3,9,0,27,1,9
599,5,4,1,1,1,14,2,9
600,15,3,1,5,1,7,1,12
601,14,1,2,7,0,28,1,0
602,4,1,2,5,0,34,1,2
603,4,1,2,3,0,16,1,4
604,13,2,2,6,0,20,1,9
605,0,0,3,3,0,16,1,3
606,4,1,5,4,0,35,2,0
607,16,1,4,9,0,13,1,9
608,10,2,1,3,0,33,1,20
609,7,2,3,8,0,29,1,1
610,11,3,1,4,0,8,1,21
611,0,1,3,7,0,26,1,4
612,12,4,1,7,0,13,1,4
613,11,3,1,5,1,14,1,9
614,13,0,1,3,0,7,1,20
615,16,2,2,6,0,9,1,17
616,5,3,1,5,1,11,1,9
617,13,1,2,5,0,15,1,4
618,6,1,2,5,0,24,1,8
619,17,1,4,7,0,13,2,4
620,12,2,1,1,0,16,1,8
621,10,0,2,6,0,10,1,9
622,4,1,2,6,0,19,2,11
623,12,1,2,2,0,24,1,1
624,13,3,2,9,0,18,2,9
625,11,2,2,6,0,15,1,15
626,13,1,3,6,0,21,1,8
627,11,1,2,6,0,35,1,2
628,0,3,1,5,1,21,1,1
629,11,0,2,9,0,14,3,9
630,2,0,2,6,0,12,2,9
631,10,3,1,0,0,14,1,11
632,13,0,1,5,1,15,1,15
633,2,3,1,5,1,15,1,18
634,5,0,2,3,0,11,1,7
635,12,3,1,1,0,19,1,2
636,11,3,1,5,1,21,1,17
637,9,1,5,5,0,11,1,9
638,2,1,5,3,0,9,2,24
639,11,1,2,9,1,29,2,0
640,15,2,1,3,0,11,1,4
641,2,1,4,8,0,20,1,3
642,7,4,1,4,0,33,1,5
643,6,2,1,1,0,22,1,4
644,17,3,3,6,0,30,2,3
645,5,0,1,3,1,41,1,3
646,1,3,3,6,0,16,1,9
647,7,1,5,3,0,22,1,7
648,0,0,1,7,0,12,1,4
649,10,3,1,2,0,45,1,0
650,8,1,1,0,0,17,1,3
651,18,1,3,9,0,49,2,0
652,10,3,3,5,1,33,3,3
653,15,1,6,5,0,16,1,9
654,5,1,5,8,0,31,1,3
655,7,0,3,6,0,25,1,1
656,7,0,5,9,0,19,1,9
657,0,0,3,6,0,27,1,9
658,8,2,1,4,0,15,1,17
659,5,1,3,5,0,26,1,1
660,9,3,1,5,1,11,1,9
661,0,1,2,9,0,17,1,24
662,15,1,2,4,0,29,1,2
663,13,3,2,1,0,16,0,14
664,10,3,1,4,1,16,1,9
665,12,0,2,1,0,17,1,17
666,11,3,1,5,1,10,1,1
667,11,3,2,3,0,26,1,8
668,15,1,1,2,0,13,1,13
669,10,0,6,2,0,8,1,24
670,8,1,2,5,0,20,1,9
671,5,1,2,6,0,8,2,9
672,7,1,3,7,0,24,1,3
673,17,0,1,7,0,26,1,0
674,13,0,3,3,1,21,1,4
675,5,2,2,5,0,7,1,1
676,4,0,3,5,0,34,1,0
677,3,3,1,5,1,6,1,1
678,18,4,1,3,0,28,1,45
679,10,1,3,2,0,11,1,9
680,12,1,1,5,0,41,1,0
681,18,2,2,9,0,39,1,3
682,10,3,2,1,0,13,1,9
683,13,3,1,5,1,8,1,7
684,18,1,2,7,0,12,2,9
685,11,0,2,6,0,9,1,9
686,10,3,1,5,1,24,1,2
687,10,2,3,5,1,27,1,11
688,3,3,2,8,0,28,1,0
689,11,1,6,4,0,12,1,4
690,7,0,1,8,0,9,1,9
691,4,1,2,5,0,27,2,2
692,13,3,2,6,0,10,2,9
693,8,0,1,4,0,9,2,3
694,13,3,1,4,1,23,1,2
695,10,0,1,5,0,17,1,9
696,5,2,2,8,0,20,2,2
697,17,1,2,7,0,17,2,9
698,4,3,1,5,1,10,1,4
699,10,2,1,2,0,34,1,0
700,3,1,4,5,0,14,1,5
701,4,0,1,6,0,35,1,1
702,0,3,1,5,1,24,1,7
703,4,3,1,5,1,31,1,1
704,11,3,1,6,0,17,1,9
705,5,2,2,3,0,11,2,5
706,0,3,1,6,0,43,1,0
707,13,0,4,5,0,37,1,0
708,2,3,1,5,1,7,1,4
709,18,3,2,5,1,33,2,4
710,17,3,1,5,1,19,1,1
711,12,1,4,6,0,17,2,6
712,12,3,3,5,1,30,3,0
713,10,0,1,0,0,23,1,4
714,3,3,2,5,1,14,2,4
715,11,4,1,9,0,24,1,9
716,5,1,3,7,0,13,1,9
717,18,1,4,5,0,7,2,3
718,5,1,6,4,0,36,1,3
719,0,1,2,5,0,24,1,9
720,10,3,1,3,0,11,1,9
721,1,3,6,6,0,13,2,4
722,1,0,1,5,0,19,1,7
723,10,0,2,5,0,13,1,8
724,13,3,1,5,1,20,1,5
725,8,3,2,5,1,22,2,9
726,16,1,3,8,0,8,2,14
727,6,3,1,5,1,18,1,1
728,0,3,2,5,0,14,2,25
729,5,1,2,8,0,13,1,4
730,12,0,5,7,0,25,1,0
731,0,0,1,3,1,7,1,7
732,0,3,2,8,0,12,2,9
733,6,0,2,3,0,10,1,6
734,0,3,2,5,1,14,2,9
735,10,3,1,5,1,11,1,9
736,3,0,5,6,0,10,2,3
737,12,3,1,5,1,21,1,20
738,4,1,1,4,0,14,1,4
739,18,3,1,5,1,7,1,4
740,15,3,1,7,0,19,1,9
741,3,2,1,6,0,11,1,6
742,13,1,3,6,0,13,1,9
743,14,3,3,5,1,10,3,9
744,1,3,2,5,0,13,1,5
745,8,1,5,0,0,14,1,7
746,16,1,2,6,0,10,1,8
747,7,0,1,5,0,27,1,34
748,5,0,2,9,0,33,1,0
749,12,3,2,7,0,10,1,7
750,8,0,1,6,0,11,1,9
751,3,0,1,2,0,32,1,3
752,9,2,1,6,0,18,1,9
753,9,0,5,5,0,8,2,2
754,15,2,6,9,0,22,1,1
755,6,1,5,4,0,7,1,28
756,6,1,1,4,0,11,1,11
757,10,3,2,5,1,21,2,9
758,8,1,2,3,0,26,1,0
759,1,1,3,7,0,15,2,3
760,14,1,2,5,1,29,2,0
761,15,1,2,8,0,15,1,9
762,17,1,2,7,0,12,1,1
763,15,4,1,7,0,19,1,1
764,15,2,4,5,0,19,1,31
765,2,2,1,0,0,12,1,5
766,12,3,3,5,1,16,3,0
767,4,0,1,5,1,16,1,17
768,15,1,1,7,0,39,1,0
769,4,3,1,5,1,11,1,7
770,12,1,3,9,0,9,1,9
