user_id,dualband_capability,phonenetwork,newphoneuser,phone_usedays,phoneprice
97,1,0,0,247,419
98,0,0,0,450,1362
99,0,0,0,324,961
100,1,0,0,202,1399
101,1,0,0,382,419
102,1,0,0,232,909
103,0,0,0,417,909
104,0,2,0,740,209
105,1,0,0,86,1049
106,0,0,0,221,909
107,1,0,1,486,1399
108,1,0,0,513,419
109,1,0,0,63,901
110,0,0,0,648,209
111,1,2,1,300,705
112,1,0,0,283,1040
113,1,0,1,382,1080
114,1,0,0,337,1049
115,0,2,0,955,209
116,0,0,0,464,209
117,1,0,0,323,419
118,1,0,0,53,1399
119,1,0,1,636,434
120,1,1,0,202,705
121,1,0,0,340,1049
122,0,0,0,69,559
123,1,0,0,328,1049
124,0,0,0,564,240
125,1,0,0,272,1049
126,1,2,1,50,705
127,1,0,0,596,419
128,1,0,0,347,1399
129,1,0,1,439,445
130,0,0,0,4,559
131,1,0,0,220,209
132,1,0,0,10,705
133,1,0,0,391,1399
134,1,0,0,242,1049
135,0,2,0,531,705
136,1,0,0,48,699
137,1,0,1,269,419
138,0,1,0,1101,209
139,1,0,0,190,1047
140,0,2,1,613,209
141,1,0,1,788,472
142,1,0,0,288,1049
143,1,0,0,376,1049
144,1,0,0,351,1049
145,1,0,1,221,1049
146,1,0,1,96,1049
147,0,1,0,747,209
148,1,1,1,404,209
149,0,1,0,753,209
150,0,0,0,341,909
151,1,0,0,181,699
152,1,0,0,326,1049
153,0,1,1,501,705
154,1,0,0,434,209
155,1,0,0,205,1399
156,1,0,0,342,1049
157,1,0,0,439,1399
158,0,0,0,203,955
159,1,0,1,292,699
160,1,2,0,832,209
161,1,0,0,437,209
162,1,0,0,303,1399
163,1,0,1,325,419
164,1,1,0,252,209
165,1,0,0,120,1049
166,1,0,0,275,1399
167,1,0,1,318,731
168,1,0,0,190,909
169,1,0,0,274,699
170,1,0,0,501,1049
171,1,0,0,220,662
172,0,0,0,138,209
173,1,0,0,333,1049
174,1,0,0,296,909
175,0,1,0,527,209
176,0,0,1,416,209
177,0,0,0,95,949
178,1,0,0,325,1399
179,1,0,0,480,1049
180,1,0,0,322,1399
181,1,0,0,272,699
182,1,0,0,344,1399
183,1,0,0,537,1049
184,1,0,0,465,1049
185,0,2,1,527,209
186,1,0,0,536,1000
187,0,0,0,783,209
188,0,0,1,328,862
189,0,0,0,243,954
190,1,0,1,155,909
191,1,0,0,358,559
192,0,1,0,563,705
193,0,1,0,818,209
194,1,0,0,278,1049
195,1,0,0,74,1259
196,1,1,1,190,705
197,1,0,0,307,559
198,1,0,0,221,1049
199,0,0,0,122,866
200,1,0,1,316,909
201,1,0,1,306,403
202,1,0,0,183,559
203,1,0,0,17,664
204,1,0,0,503,521
205,1,0,0,378,1049
206,0,0,0,335,956
207,1,0,1,83,1399
208,1,0,0,295,1399
209,1,0,0,574,419
210,0,1,0,256,705
211,0,1,0,871,419
212,1,0,0,101,209
213,0,0,1,335,705
214,1,0,0,301,1399
215,1,0,0,656,419
216,0,0,0,142,909
217,0,1,0,677,209
218,1,0,0,265,1049
219,1,0,0,384,1049
220,1,0,0,21,1399
221,0,1,1,692,705
222,0,2,0,1404,209
223,1,0,0,360,1399
224,0,0,0,139,372
225,0,0,0,68,705
226,1,0,0,390,1049
227,1,0,0,335,1399
228,1,0,0,211,1049
229,1,0,0,211,1399
230,1,0,1,108,209
231,1,0,0,267,699
232,1,2,0,714,209
233,1,0,0,563,419
234,1,0,0,727,293
235,1,0,0,402,419
236,0,0,0,287,909
237,0,0,0,193,693
238,0,0,0,204,934
239,0,0,0,482,354
240,1,2,0,759,705
241,0,0,1,549,330
242,1,0,0,283,1399
243,0,2,0,910,705
244,0,0,0,395,209
245,0,0,0,40,209
246,0,0,1,317,977
247,0,1,0,1023,209
248,0,0,0,183,2799
249,0,1,0,979,209
250,0,1,1,935,209
251,0,0,0,285,1043
252,1,0,0,190,1399
253,1,0,0,440,419
254,1,0,0,512,559
255,1,0,0,479,559
256,1,2,0,1049,209
257,1,1,0,641,705
258,1,1,0,522,209
259,0,1,1,969,209
260,1,0,0,284,1049
261,1,1,0,786,209
262,1,0,0,68,699
263,1,0,1,349,1049
264,1,0,0,385,463
265,1,1,0,394,705
266,0,0,0,353,925
267,1,0,0,499,1049
268,1,0,0,127,1330
269,1,0,0,264,1399
270,0,0,1,123,878
271,0,0,0,273,705
272,1,2,0,592,705
273,1,1,0,695,209
274,1,2,0,818,209
275,1,0,0,189,1399
276,1,1,0,852,209
277,0,0,0,388,909
278,1,0,0,489,1399
279,1,0,0,549,419
280,1,0,0,119,620
281,0,2,1,1182,209
282,1,0,0,59,990
283,1,0,0,250,419
284,0,1,1,494,559
285,0,0,0,292,909
286,1,0,0,484,559
287,0,0,0,179,1024
288,1,0,1,44,699
289,1,1,1,506,209
290,0,1,0,668,705
291,1,0,0,307,1399
292,1,0,0,184,699
293,1,0,0,282,209
294,0,0,0,125,609
295,1,0,0,339,559
296,1,0,0,791,547
297,0,2,0,1086,209
298,1,0,0,746,419
299,1,0,1,530,489
300,1,0,0,91,559
301,0,1,0,1080,209
302,0,0,0,369,909
303,1,0,0,351,1049
304,1,0,0,775,381
305,1,0,0,139,1049
306,1,0,0,392,1049
307,1,0,0,584,559
308,1,0,0,181,910
309,1,0,0,474,559
310,1,0,0,399,419
311,1,1,0,475,209
312,0,1,1,875,209
313,1,0,0,482,419
314,1,0,0,90,699
315,1,0,0,199,1049
316,0,1,0,639,705
317,1,0,0,369,1049
318,0,0,0,563,295
319,1,2,1,522,209
320,1,0,0,225,1049
321,1,0,0,220,1049
322,1,0,1,41,1399
323,0,0,0,63,909
324,0,2,1,699,705
325,0,2,0,692,209
326,1,0,0,388,1049
327,1,0,0,181,1399
328,0,1,0,614,209
329,1,0,0,234,1049
330,0,0,0,23,839
331,0,0,0,51,699
332,1,0,1,321,1399
333,0,0,0,84,705
334,1,0,0,397,419
335,1,0,0,439,419
336,0,0,0,193,909
337,1,0,0,406,926
338,0,1,0,793,209
339,0,0,0,230,909
340,0,0,0,219,788
341,1,0,0,371,699
342,1,0,1,417,935
343,1,0,0,415,1049
344,1,0,0,429,909
345,1,0,0,377,1049
346,0,0,0,187,596
347,1,0,1,728,505
348,1,0,0,314,1049
349,0,2,0,940,209
350,1,0,0,629,419
351,0,0,0,135,1016
352,0,0,0,356,705
353,0,2,0,505,705
354,0,0,0,431,559
355,1,0,0,214,1399
356,1,1,0,1060,209
357,1,0,0,295,419
358,1,0,0,337,909
359,1,2,0,439,209
360,0,0,0,10,1356
361,0,1,1,787,209
362,0,0,0,315,932
363,1,0,0,44,1049
364,1,0,0,319,1049
365,0,0,0,279,559
366,1,0,0,439,1049
367,1,0,1,319,1399
368,0,0,0,639,427
369,0,1,0,664,209
370,1,0,0,281,1399
371,1,0,0,657,559
372,0,0,0,116,1023
373,0,0,0,291,1018
374,0,0,0,255,1529
375,0,0,0,52,559
376,1,0,0,286,1049
377,1,0,0,315,514
378,1,0,1,388,1049
379,1,2,0,767,705
380,1,0,0,119,209
381,0,0,0,394,420
382,1,0,0,209,1049
383,1,0,0,426,559
384,1,0,0,419,1399
385,0,0,0,577,209
386,1,1,0,871,209
387,1,1,0,235,209
388,1,0,0,488,1049
389,1,0,0,94,699
390,1,0,0,445,623
391,1,1,0,821,209
392,0,0,1,601,1027
393,0,0,0,49,909
394,1,0,0,275,559
395,1,0,0,315,765
396,1,0,0,677,419
397,1,0,0,105,909
398,1,0,0,329,1399
399,1,0,0,359,740
400,1,1,0,742,209
401,0,0,0,327,209
402,1,0,1,228,1399
403,0,1,0,745,209
404,1,0,0,536,315
405,0,2,0,804,209
406,1,0,0,580,559
407,1,0,0,311,710
408,1,0,0,262,559
409,1,0,0,246,699
410,1,0,0,57,419
411,1,0,0,294,1049
412,1,0,0,245,1399
413,0,0,0,724,460
414,1,0,0,256,1049
415,1,0,0,415,559
416,1,0,0,661,419
417,0,0,0,226,909
418,0,1,1,392,209
419,1,0,0,94,699
420,1,0,0,292,705
421,1,0,0,259,209
422,1,0,0,688,1399
423,1,0,0,179,1015
424,0,1,0,696,209
425,1,0,0,416,1049
426,1,0,1,320,699
427,0,0,0,116,686
428,1,0,0,200,1049
429,1,0,1,548,1049
430,1,0,0,186,677
431,0,0,0,40,909
432,1,0,0,367,1049
433,1,0,0,9,1399
434,1,0,0,282,1049
435,1,0,0,518,513
436,1,0,0,333,699
437,1,1,1,319,209
438,1,0,0,268,279
439,1,0,0,233,419
440,0,0,0,331,209
441,0,1,0,1003,209
442,0,2,0,640,705
443,1,1,0,499,705
444,0,1,0,306,209
445,1,0,0,58,699
446,0,1,0,629,209
447,1,0,0,373,419
448,1,0,0,324,1399
449,1,0,1,707,419
450,1,0,0,376,209
451,0,0,1,336,909
452,0,2,0,736,705
453,0,0,1,290,831
454,0,0,0,130,559
455,1,0,1,486,967
456,1,0,0,374,1049
457,0,1,0,682,209
458,1,0,0,674,1049
459,1,0,0,353,1049
460,0,0,1,210,771
461,1,0,0,448,419
462,1,0,0,232,1049
463,1,0,0,385,1049
464,1,0,0,431,1049
465,1,0,0,351,1049
466,0,0,0,447,246
467,0,0,0,76,699
468,0,2,0,877,209
469,0,0,0,96,559
470,0,0,0,116,909
471,1,0,0,325,1049
472,1,0,1,777,1049
473,0,1,0,724,467
474,0,0,1,226,740
475,1,0,0,257,699
476,1,0,0,365,1049
477,1,1,1,760,705
478,1,0,0,579,1049
479,0,1,0,360,209
480,1,0,0,613,909
481,0,0,0,235,909
482,1,0,0,536,471
483,1,0,0,662,1049
484,0,0,0,405,705
485,1,0,0,38,1399
486,1,0,0,299,463
487,0,0,1,182,903
488,0,0,0,207,881
489,1,0,0,276,802
490,1,2,0,753,209
491,0,1,1,349,209
492,1,0,0,187,905
493,1,0,0,614,1049
494,0,1,0,463,705
495,1,0,0,34,1749
496,1,0,0,394,621
497,1,0,0,564,1049
498,1,0,0,220,209
499,0,2,0,736,209
500,1,1,0,853,705
501,1,0,0,336,1049
502,0,0,0,187,909
503,1,0,1,175,1049
504,1,0,0,267,560
505,0,0,0,657,209
506,1,1,0,426,209
507,0,0,0,240,1056
508,0,0,0,233,699
509,1,0,0,125,699
510,1,0,0,603,1049
511,1,0,0,380,559
512,1,1,0,839,209
513,1,0,0,288,1049
514,1,0,0,311,419
515,1,0,0,234,419
516,1,0,0,466,1049
517,0,2,1,359,705
518,1,0,1,588,999
519,0,0,0,239,295
520,1,0,0,8,699
521,0,1,0,528,209
522,1,0,1,191,699
523,1,0,0,566,419
524,1,0,0,670,419
525,1,0,0,207,1244
526,1,0,1,277,1399
527,1,0,0,359,559
528,1,0,0,367,416
529,1,1,1,1187,209
530,0,1,0,448,209
531,0,1,0,472,705
532,1,0,0,197,699
533,1,0,0,114,1399
534,0,2,0,628,209
535,1,0,0,366,1049
536,1,0,0,337,1049
537,0,1,0,1152,209
538,1,0,0,57,1399
539,1,0,0,429,1049
540,0,1,0,714,209
541,0,2,0,710,209
542,1,0,1,237,1049
543,0,0,0,617,478
544,1,0,0,197,909
545,1,0,0,388,1049
546,0,0,0,34,841
547,0,0,0,247,909
548,1,0,0,630,699
549,1,0,0,133,1399
550,0,1,0,594,209
551,0,0,0,586,209
552,0,1,0,10,419
553,0,2,0,92,209
554,0,2,0,421,203
555,1,0,0,246,1006
556,1,0,0,197,909
557,0,0,0,195,699
558,1,0,0,186,1049
559,1,0,0,286,1049
560,0,0,0,227,1039
561,1,1,0,543,705
562,0,0,0,433,956
563,0,1,1,981,209
564,0,1,0,18,705
565,1,0,0,189,1049
566,1,0,0,147,699
567,1,0,0,235,909
568,0,0,0,553,344
569,1,1,0,715,209
570,0,0,0,338,368
571,1,0,0,348,559
572,0,0,0,433,909
573,0,1,1,645,209
574,1,2,1,108,705
575,0,2,1,904,209
576,1,0,0,259,1212
577,1,0,0,433,1274
578,1,0,0,661,419
579,1,0,0,387,559
580,0,1,1,482,209
581,0,0,0,248,909
582,1,0,0,328,413
583,1,0,0,396,1049
584,1,2,0,719,209
585,0,0,1,121,223
586,1,0,1,161,699
587,1,0,0,313,1399
588,1,0,1,271,1049
589,0,0,0,292,909
590,1,0,0,395,909
591,1,0,0,261,559
592,1,0,1,391,559
593,1,0,0,603,419
594,1,2,1,730,705
595,1,0,0,301,1049
596,1,0,1,41,699
597,1,0,0,167,1399
598,1,1,0,773,209
599,0,0,0,420,909
600,1,0,0,74,1939
601,0,1,0,851,209
602,1,1,0,647,209
603,1,0,0,132,524
604,1,2,1,595,209
605,0,1,1,492,209
606,1,1,1,1062,209
607,1,0,0,404,1049
608,1,0,1,313,669
609,1,1,0,892,209
610,0,0,0,259,956
611,0,2,1,790,209
612,1,0,0,132,1049
613,1,0,0,400,419
614,1,0,0,11,1049
615,1,0,0,246,1049
616,1,0,0,235,909
617,1,0,0,458,1049
618,1,0,0,589,270
619,1,0,0,382,1049
620,1,0,0,478,559
621,0,0,0,319,1025
622,0,1,0,569,209
623,0,1,0,719,209
624,1,0,0,539,1049
625,0,0,0,411,209
626,1,0,0,243,1362
627,1,1,0,1076,209
628,1,2,0,653,209
629,1,0,0,402,909
630,1,0,0,315,1399
631,1,0,1,118,896
632,1,0,0,105,909
633,1,0,0,437,1049
634,1,0,0,110,699
635,0,0,0,19,1051
636,1,2,0,630,209
637,1,0,0,285,1399
638,1,0,0,31,699
639,1,0,1,435,909
640,0,0,0,238,615
641,1,0,0,632,1049
642,0,0,0,102,1222
643,1,0,0,208,455
644,1,0,0,78,699
645,1,0,0,137,699
646,1,0,0,473,1049
647,1,0,0,654,1049
648,0,0,0,353,909
649,1,0,0,216,1303
650,1,0,1,157,1399
651,0,2,0,575,209
652,1,0,0,233,1049
653,0,2,0,485,209
654,1,0,0,483,527
655,1,0,0,14,1749
656,1,0,1,60,1049
657,1,0,0,730,419
658,1,0,0,230,801
659,1,0,0,247,1147
660,1,0,0,322,1049
661,0,1,0,495,209
662,0,0,0,898,209
663,1,0,1,275,951
664,1,0,0,369,559
665,1,0,0,516,1049
666,0,0,0,290,559
667,0,0,0,298,909
668,0,0,0,321,999
669,1,0,0,240,1049
670,1,0,1,605,1019
671,1,0,0,226,1399
672,1,0,1,215,209
673,1,1,0,793,209
674,0,0,0,630,209
675,0,0,1,240,561
676,1,0,0,320,699
677,0,0,0,188,909
678,0,2,0,863,209
679,1,0,0,337,989
680,1,1,0,1230,209
681,1,2,0,957,209
682,1,0,1,361,1399
683,1,0,0,220,699
684,1,0,0,376,909
685,0,0,0,23,209
686,0,0,0,613,559
687,1,0,0,34,699
688,1,0,0,832,419
689,0,1,0,367,209
690,1,0,0,283,1399
691,1,1,1,840,209
692,1,0,1,310,419
693,1,0,1,261,1049
694,0,1,0,702,209
695,1,1,0,522,209
696,1,1,0,545,705
697,1,0,0,106,1399
698,1,0,1,56,209
699,1,0,1,493,1197
700,1,0,0,40,1399
701,1,0,0,434,1090
702,1,0,0,729,385
703,1,0,0,401,909
704,1,0,1,350,889
705,1,0,0,333,1049
706,1,0,0,219,1049
707,0,2,1,1131,209
708,1,0,0,194,1399
709,1,0,0,33,1399
710,1,0,0,149,699
711,1,0,0,532,480
712,0,0,1,102,909
713,1,0,0,336,1399
714,1,2,0,411,705
715,0,0,0,294,699
716,0,2,1,372,209
717,1,0,0,218,699
718,1,0,0,366,1399
719,1,1,1,710,705
720,1,0,0,200,1178
721,1,0,0,394,1049
722,1,0,1,556,419
723,0,0,0,391,909
724,0,0,0,333,990
725,1,0,0,679,1049
726,1,0,0,236,1049
727,1,2,0,542,209
728,1,1,0,406,209
729,0,2,0,399,209
730,0,1,0,773,559
731,1,0,0,107,699
732,0,0,0,356,1044
733,1,0,0,262,419
734,1,0,0,399,419
735,1,0,0,301,419
736,1,0,1,299,1049
737,1,0,1,641,1049
738,1,2,0,407,209
739,1,0,0,196,1049
740,1,0,0,588,1049
741,1,0,0,338,559
742,1,0,0,382,419
743,0,0,0,292,909
744,1,0,0,269,1399
745,0,0,0,169,622
746,0,0,0,334,209
747,0,1,0,844,209
748,1,0,0,389,477
749,0,0,0,66,909
750,1,0,0,339,1049
751,1,1,0,989,209
752,1,0,0,474,1049
753,1,0,1,244,559
754,0,1,0,673,209
755,0,1,0,218,209
756,1,0,0,201,1173
757,0,1,0,638,209
758,0,0,0,166,645
759,1,0,0,61,1042
760,0,2,1,875,209
761,1,0,0,458,508
762,1,0,0,336,909
763,1,0,0,2,1399
764,0,0,0,181,909
765,0,0,0,137,882
766,0,0,0,468,909
767,1,0,0,244,209
768,1,0,1,96,1399
769,0,0,0,328,458
770,0,0,0,267,2799
771,1,0,0,386,419
772,0,1,0,177,209
773,0,0,0,450,641
774,1,0,0,410,1049
775,1,0,0,369,1399
776,0,0,0,706,209
777,1,0,0,516,1049
778,1,0,0,256,1399
779,1,0,0,221,1049
780,0,1,0,657,559
781,1,0,0,4,1049
782,1,0,1,116,1399
783,0,0,0,329,909
784,0,0,0,466,559
785,1,1,0,776,209
786,1,1,1,608,705
787,1,0,0,82,909
788,0,1,0,651,209
789,1,0,0,327,1111
790,0,0,0,230,1079
791,0,0,1,111,658
792,1,0,0,568,438
793,1,0,0,208,630
794,0,0,0,493,947
795,1,0,0,203,1049
796,1,0,0,390,909
797,0,0,0,263,752
798,1,0,0,536,405
799,0,0,1,151,941
800,1,0,0,367,1031
801,1,0,1,446,559
802,1,1,0,754,209
803,1,0,1,142,1049
804,0,1,1,84,705
805,1,1,0,359,209
806,0,1,0,667,209
807,1,0,0,381,1019
808,1,0,1,390,1049
809,1,0,0,290,531
810,1,1,0,13,209
811,1,0,0,324,1399
812,1,0,0,27,1049
813,0,2,1,770,209
814,1,0,0,286,909
815,1,0,0,176,1040
816,0,0,0,270,909
817,1,0,0,87,1399
818,1,0,0,106,709
819,0,0,0,373,293
820,1,0,0,66,676
821,1,0,0,330,454
822,1,2,0,706,209
823,0,1,0,495,209
824,0,0,0,352,684
825,0,1,1,1258,209
826,1,0,0,381,1399
827,1,0,0,411,383
828,1,0,0,190,1049
829,1,0,0,64,699
830,1,0,0,596,419
831,0,0,0,192,209
832,0,0,0,323,909
833,0,0,0,310,909
834,1,1,0,806,209
835,1,0,0,521,419
836,0,1,0,430,209
837,1,0,0,204,559
838,0,0,0,357,1025
839,0,0,0,241,705
840,1,0,0,236,1399
841,1,0,0,658,331
842,0,1,0,735,209
843,1,0,0,294,1049
844,1,0,0,682,1049
845,0,0,1,319,602
846,1,0,1,169,1049
847,1,0,0,349,699
848,1,0,0,195,699
849,0,1,0,800,559
850,1,0,0,623,419
851,0,0,0,832,341
852,1,0,0,220,1049
853,1,2,0,655,209
854,1,0,1,195,909
855,0,1,0,367,559
856,0,1,0,396,279
857,1,0,0,481,1049
858,1,0,0,334,929
859,1,0,0,376,1049
860,1,0,0,183,699
861,1,0,0,252,559
862,1,0,0,329,1049
863,0,0,0,628,559
864,1,0,0,460,1399
865,1,0,1,58,1049
866,0,0,0,186,740
867,0,0,1,225,711
868,1,0,0,318,1049
869,0,1,0,27,705
870,1,2,0,567,209
871,0,1,1,972,705
872,1,1,1,760,372
873,1,2,0,594,705
874,1,0,0,261,1049
875,1,0,0,294,1399
876,1,0,0,228,670
877,1,1,0,977,705
878,1,0,0,302,1399
879,1,0,0,292,1049
880,1,1,0,1097,209
881,0,1,0,520,209
882,1,0,1,4,419
883,1,0,0,600,559
884,1,0,0,276,1049
885,1,0,0,200,1278
886,1,0,0,554,947
887,1,0,0,375,1049
888,1,0,0,403,909
889,1,0,0,278,1049
890,1,0,0,189,1049
891,1,0,0,378,1399
892,1,0,0,323,1049
893,1,0,0,355,909
894,0,1,0,507,209
895,1,0,0,134,1049
896,1,0,0,144,559
897,1,0,0,397,1049
898,0,0,0,412,209
899,1,2,0,812,209
900,0,0,1,239,937
901,1,0,0,293,909
902,1,0,1,606,559
903,1,0,1,77,1003
904,0,1,1,882,209
905,0,0,0,234,840
906,1,1,0,843,209
907,1,0,0,318,1399
908,1,1,0,435,705
909,1,0,0,309,1049
910,1,1,0,243,705
911,1,0,0,316,699
912,1,0,0,556,1049
913,0,1,0,534,209
914,0,1,0,798,209
915,1,0,0,246,909
916,1,0,0,234,1049
917,1,0,1,211,699
918,1,0,0,302,1049
919,1,0,0,335,1399
920,1,0,0,48,1019
921,1,0,0,418,1049
922,0,0,0,161,764
923,0,2,0,366,209
924,1,0,0,383,1049
925,0,0,0,206,909
926,0,1,0,724,559
927,1,0,0,26,1049
928,1,0,0,60,699
929,1,0,1,451,923
930,0,0,1,648,234
931,1,0,1,229,909
932,1,0,0,934,419
933,1,1,0,831,209
934,1,0,0,193,1049
935,1,0,1,15,1399
936,1,0,0,64,1749
937,1,0,0,97,1049
938,0,0,0,218,909
939,0,2,1,1047,209
940,1,0,0,223,1049
941,0,0,0,472,208
942,1,1,0,1170,209
943,1,0,0,289,559
944,1,2,0,946,209
945,1,1,0,604,209
946,1,0,0,534,559
947,1,0,0,326,209
948,1,0,0,270,559
949,0,0,0,333,944
950,0,0,0,435,1048
951,0,1,0,613,459
952,1,0,0,735,909
953,1,0,0,258,419
954,1,0,0,260,1049
955,1,0,0,233,385
956,0,2,0,714,209
957,1,0,0,203,1049
958,0,0,0,717,209
959,0,1,0,810,209
960,1,0,0,166,1049
961,1,0,0,476,981
962,1,0,0,274,1049
963,0,2,0,637,209
964,1,0,1,483,559
965,1,0,1,377,559
966,1,0,1,420,985
967,0,0,0,324,824
968,1,0,0,592,419
969,0,0,0,312,731
970,0,0,1,330,1251
971,1,0,0,211,1049
972,0,0,1,140,911
973,0,1,0,243,209
974,1,0,0,425,1049
975,1,0,0,491,559
976,1,0,0,500,559
977,1,0,0,237,1049
978,1,0,0,277,559
979,0,2,0,687,209
980,0,1,1,338,419
981,1,1,0,247,705
982,0,0,1,120,909
983,1,0,1,348,1358
984,1,0,0,576,419
985,1,0,0,388,1049
986,0,0,0,217,711
987,1,0,0,666,419
988,1,0,0,451,571
989,1,0,0,445,513
990,0,0,1,58,699
991,1,0,1,55,686
992,1,0,0,659,419
993,0,1,1,364,243
994,0,1,0,685,209
995,0,0,0,488,307
996,1,0,1,466,559
997,1,0,1,106,938
998,0,1,0,684,209
999,1,0,0,338,1049
1000,0,0,0,151,699
1001,0,0,0,190,988
1002,0,1,0,785,245
1003,1,1,1,386,209
1004,1,0,1,275,699
1005,1,0,0,233,1091
1006,0,0,0,440,1046
1007,1,0,0,397,1049
1008,1,0,0,321,419
1009,1,0,1,528,971
1010,0,0,0,544,620
1011,1,0,0,468,1049
1012,0,1,0,689,705
1013,1,0,0,319,972
1014,0,0,0,326,1399
1015,1,1,0,835,209
1016,1,0,0,302,909
1017,1,0,0,472,1049
1018,0,1,0,1009,209
1019,0,1,0,742,209
1020,1,0,0,347,1049
1021,0,1,1,554,209
1022,1,0,0,297,1399
1023,1,0,0,241,699
1024,1,2,1,366,209
1025,1,0,0,241,1049
1026,1,0,0,675,419
1027,1,0,0,289,559
1028,1,0,0,293,470
1029,1,0,0,426,1049
1030,1,0,0,347,1049
1031,1,0,1,495,1146
1032,1,0,0,485,1049
1033,1,0,0,420,244
1034,1,0,0,98,1049
1035,0,1,0,387,236
1036,0,1,1,568,705
1037,1,0,0,582,1049
1038,0,0,0,285,624
1039,1,1,0,922,209
1040,0,1,1,793,705
1041,0,0,0,246,893
1042,0,1,1,223,342
1043,1,0,0,466,1049
1044,1,2,0,295,209
1045,1,0,0,339,659
1046,1,0,0,674,909
1047,1,0,0,229,1049
1048,0,1,0,751,559
1049,1,1,0,676,209
1050,0,0,0,645,211
1051,1,0,0,465,559
1052,0,1,1,427,705
1053,1,2,0,685,209
1054,0,0,0,405,559
1055,1,0,0,722,1049
1056,1,0,0,172,909
1057,0,2,0,671,209
1058,1,0,0,552,419
1059,1,0,0,407,1049
1060,1,0,1,572,1049
1061,1,1,0,1175,209
1062,1,0,0,296,279
1063,0,0,0,186,909
1064,0,1,0,602,705
1065,1,0,0,477,1049
1066,1,1,0,337,209
1067,1,0,0,121,1399
1068,0,0,0,620,209
1069,0,1,1,903,500
1070,1,1,0,631,705
1071,1,0,0,199,909
1072,1,0,0,7,1049
1073,1,0,0,167,1049
1074,1,0,0,504,543
1075,1,0,0,443,1049
1076,1,0,0,339,576
1077,0,2,1,1009,209
1078,1,0,0,87,1049
1079,1,0,0,262,1049
1080,1,0,1,399,473
1081,0,1,0,287,705
1082,0,1,0,1402,209
1083,1,0,0,327,699
1084,1,0,0,323,1049
1085,0,1,0,562,209
1086,1,0,0,200,1049
1087,1,0,0,355,930
1088,0,0,0,449,566
1089,1,0,0,468,419
1090,1,0,0,30,1049
1091,1,0,0,76,1399
1092,1,0,0,359,559
1093,1,0,0,387,937
1094,1,0,0,351,1049
1095,1,0,1,212,559
1096,1,0,0,203,1049
1097,0,1,0,497,201
1098,1,0,0,381,1049
1099,0,2,0,516,209
1100,1,0,0,405,1049
1101,1,1,1,333,209
1102,1,1,0,525,209
1103,1,1,0,940,209
1104,1,0,0,717,559
1105,1,0,0,205,559
1106,1,0,0,500,419
1107,0,0,0,235,209
1108,1,0,0,217,1049
1109,1,0,0,272,209
1110,1,0,0,237,1399
1111,1,0,0,207,909
1112,1,0,0,620,1399
1113,1,0,0,267,699
1114,0,0,1,290,699
1115,1,0,1,246,1049
1116,1,0,0,257,909
1117,1,0,1,670,419
